"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Buffalo Bills (BUF)","9","4","1","1","1","0","0","1","32.0","32.0","62.6%"
"2","Detroit Lions (DET)","7","0","1","1","0","0","0","1","16.0","16.0","44.0%"
"3","Houston Texans (HOU)","0","1","1","1","0","0","1","1","13.0","13.0","29.8%"
"4","Philadelphia Eagles (PHI)","2","1","1","2","0","1","0","1","12.0","12.0","50.8%"
"5","Cleveland Browns (CLE)","5","0","0","1","0","0","0","1","12.0","12.0","94.3%"
"6","Kansas City Chiefs (KC)","3","1","1","1","0","0","0","1","11.0","11.0","76.9%"
"7","Pittsburgh Steelers (PIT)","4","3","0","0","0","0","0","1","11.0","11.0","76.5%"
"8","Cincinnati Bengals (CIN)","6","2","0","0","0","0","0","1","11.0","11.0","48.7%"
"9","New Orleans Saints (NO)","1","1","0","0","0","0","1","1","10.0","10.0","63.8%"
"10","Indianapolis Colts (IND)","4","0","2","3","0","0","0","1","9.0","9.0","24.5%"
"11","New England Patriots (NE)","3","0","0","1","0","1","0","1","9.0","9.0","13.3%"
"12","Miami Dolphins (MIA)","1","1","2","2","0","0","0","1","8.0","8.0","69.0%"
"13","Los Angeles Chargers (LAC)","4","1","1","1","0","0","0","1","8.0","8.0","16.6%"
"14","San Francisco 49ers (SF)","2","1","0","0","0","0","0","1","8.0","8.0","98.1%"
"15","Baltimore Ravens (BAL)","5","0","0","1","0","1","0","1","7.0","7.0","87.6%"
"16","Los Angeles Rams (LAR)","2","1","0","0","0","0","0","1","5.0","5.0","21.1%"
"17","Tampa Bay Buccaneers (TB)","1","2","0","0","0","0","0","1","5.0","5.0","20.7%"
"18","Tennessee Titans (TEN)","3","0","1","2","0","0","0","1","5.0","5.0","3.5%"
"19","Arizona Cardinals (ARI)","2","1","0","0","0","0","0","1","5.0","5.0","0.8%"
"20","Green Bay Packers (GB)","4","0","0","0","0","0","0","1","5.0","5.0","26.0%"
"21","Atlanta Falcons (ATL)","0","1","0","0","0","0","0","1","3.0","3.0","16.5%"
"22","Seattle Seahawks (SEA)","3","0","0","0","0","0","0","1","3.0","3.0","27.1%"
"23","Minnesota Vikings (MIN)","1","0","1","4","0","0","0","1","2.0","2.0","11.6%"
"24","Denver Broncos (DEN)","0","0","0","0","0","0","1","1","2.0","2.0","34.5%"
"25","New York Giants (NYG)","2","0","0","0","0","0","0","1","1.0","1.0","3.1%"
"26","New York Jets (NYJ)","0","0","0","0","0","0","0","1","1.0","1.0","82.8%"
"27","Las Vegas Raiders (LV)","1","0","0","0","0","0","0","1","1.0","1.0","21.8%"
"28","Dallas Cowboys (DAL)","2","0","0","0","0","0","0","1","1.0","1.0","93.2%"
"29","Washington Commanders (WAS)","0","1","0","0","0","0","0","1","1.0","1.0","8.1%"
"30","Chicago Bears (CHI)","0","2","0","0","0","0","0","1","0.0","0.0","31.0%"
"31","Carolina Panthers (CAR)","2","1","0","0","0","0","0","1","0.0","0.0","2.9%"
"32","Jacksonville Jaguars (JAC)","0","0","0","0","0","0","0","1","-4.0","-4.0","47.1%"
""
""
