"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Gus Edwards (LAC)","19","80","4.2","10","0","3","2","2","14","7.0","0","0","1","27.4","27.4","80.5%"
"2","Jahmyr Gibbs (DET)","26","152","5.8","27","2","1","5","5","37","7.4","0","0","1","24.9","24.9","99.3%"
"3","Christian McCaffrey (SF)","12","54","4.5","16","0","1","6","7","64","10.7","1","0","1","23.8","23.8","100.0%"
"4","Alvin Kamara (NO)","17","59","3.5","16","0","1","4","5","51","12.8","1","0","1","23.0","23.0","98.2%"
"5","Travis Etienne Jr. (JAC)","24","79","3.3","13","0","0","3","6","70","23.3","1","0","1","22.9","22.9","99.7%"
"6","Joe Mixon (HOU)","16","87","5.4","20","1","1","3","3","23","7.7","0","0","1","17.0","17.0","99.0%"
"7","Austin Ekeler (WAS)","15","29","1.9","7","0","0","7","8","94","13.4","1","1","1","16.3","16.3","92.9%"
"8","Javonte Williams (DEN)","27","85","3.1","15","0","0","3","3","13","4.3","1","0","1","15.8","15.8","89.2%"
"9","Breece Hall (NYJ)","12","17","1.4","5","0","0","6","9","76","12.7","1","0","1","15.3","15.3","98.9%"
"10","Josh Jacobs (GB)","15","61","4.1","9","0","1","2","4","27","13.5","0","0","1","14.8","14.8","97.2%"
"11","Zack Moss (CIN)","11","66","6.0","41","1","1","1","1","8","8.0","0","0","1","13.4","13.4","75.0%"
"12","Saquon Barkley (PHI)","36","128","3.6","34","1","0","3","5","0","0.0","0","0","1","12.8","12.8","100.0%"
"13","Kareem Hunt (FA)","14","55","3.9","9","0","1","1","1","12","12.0","0","0","1","12.7","12.7","27.2%"
"14","D'Andre Swift (CHI)","16","57","3.6","9","0","1","2","3","7","3.5","0","0","1","12.4","12.4","94.0%"
"15","Bijan Robinson (ATL)","11","62","5.6","25","1","1","0","5","0","0","0","0","1","12.2","12.2","99.9%"
