"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jared Goff (DET)","24","34","70.6","278","8.2","5","0","2","0","0","0","0","1","31.1","31.1","70.2%"
"2","Baker Mayfield (TB)","22","28","78.6","381","13.6","4","0","5","2","-2","0","1","1","29.0","29.0","44.6%"
"3","Aidan O'Connell (LV)","20","34","58.8","248","7.3","4","0","1","0","0","0","0","1","25.9","25.9","2.9%"
"4","Brock Purdy (SF)","16","25","64.0","242","9.7","4","0","0","0","0","0","0","1","25.7","25.7","91.7%"
"5","Jalen Hurts (PHI)","17","31","54.8","143","4.6","0","2","0","13","82","2","0","1","23.9","23.9","99.9%"
"6","Gardner Minshew II (LV)","18","28","64.3","215","7.7","3","0","3","2","0","0","0","1","20.6","20.6","16.7%"
"7","Derek Carr (NO)","23","28","82.1","218","7.8","3","0","1","3","-4","0","0","1","20.3","20.3","25.0%"
"8","Jake Browning (CIN)","29","42","69.0","324","7.7","2","1","4","4","0","0","0","1","20.0","20.0","20.7%"
"9","Joe Flacco (IND)","28","44","63.6","374","8.5","2","3","4","1","-1","0","0","1","19.9","19.9","17.3%"
"10","Lamar Jackson (BAL)","14","24","58.3","171","7.1","1","1","3","12","97","0","0","1","19.5","19.5","99.3%"
"11","Nick Mullens (MIN)","26","33","78.8","303","9.2","2","2","3","6","10","0","0","1","19.1","19.1","4.1%"
"12","Matthew Stafford (LAR)","25","33","75.8","258","7.8","2","0","3","1","2","0","0","1","18.5","18.5","55.8%"
"13","Easton Stick (LAC)","23","32","71.9","257","8.0","3","1","3","2","11","0","2","1","18.4","18.4","1.6%"
"14","Patrick Mahomes II (KC)","27","37","73.0","305","8.2","2","2","3","3","-5","0","0","1","17.7","17.7","99.4%"
"15","Jordan Love (GB)","29","39","74.4","284","7.3","2","0","2","2","1","0","1","1","17.5","17.5","86.0%"
"16","Russell Wilson (PIT)","18","32","56.3","223","7.0","1","0","2","7","6","1","1","1","17.5","17.5","30.3%"
"17","Josh Allen (BUF)","7","15","46.7","94","6.3","1","0","1","8","24","1","0","1","16.2","16.2","99.9%"
"18","Will Levis (TEN)","17","26","65.4","199","7.7","0","1","7","4","25","1","0","1","15.5","15.5","10.3%"
"19","Kyler Murray (ARI)","26","39","66.7","211","5.4","1","2","3","6","49","0","0","1","15.3","15.3","78.8%"
"20","Mitchell Trubisky (BUF)","16","23","69.6","169","7.3","1","2","3","2","1","1","0","1","14.9","14.9","1.1%"
"21","Trevor Lawrence (JAC)","25","43","58.1","264","6.1","1","0","1","4","41","0","2","1","14.7","14.7","66.4%"
"22","Jacoby Brissett (NE)","8","10","80.0","124","12.4","2","0","0","2","9","0","0","1","13.9","13.9","1.3%"
"23","Tua Tagovailoa (MIA)","21","24","87.5","224","9.3","1","0","3","0","0","0","0","1","13.0","13.0","78.9%"
"24","Case Keenum (HOU)","23","36","63.9","229","6.4","1","1","3","2","1","0","0","1","12.3","12.3","0.6%"
"25","Drew Lock (NYG)","22","33","66.7","208","6.3","1","0","2","1","-2","0","0","1","12.1","12.1","1.7%"
"26","Justin Fields (PIT)","19","40","47.5","166","4.2","1","2","3","7","30","0","0","1","11.6","11.6","49.5%"
"27","Tommy DeVito (NYG)","20","34","58.8","177","5.2","0","0","7","4","36","0","0","1","10.7","10.7","3.1%"
"28","Bailey Zappe (NE)","23","31","74.2","180","5.8","1","1","4","1","2","0","0","1","10.4","10.4","1.1%"
"29","Sam Howell (SEA)","11","26","42.3","102","3.9","1","1","1","3","22","0","0","1","9.3","9.3","28.9%"
"30","Desmond Ridder (ARI)","12","20","60.0","152","7.6","1","1","0","5","-2","0","0","1","8.9","8.9","3.7%"
"31","Bryce Young (CAR)","18","24","75.0","167","7.0","0","0","3","4","9","0","0","1","7.6","7.6","9.1%"
"32","Dak Prescott (DAL)","21","34","61.8","134","3.9","0","1","3","4","27","0","0","1","7.1","7.1","96.4%"
"33","Sam Darnold (MIN)","2","3","66.7","20","6.7","0","0","0","2","-2","0","0","1","0.6","0.6","1.2%"
"34","Tyrod Taylor (NYJ)","2","4","50.0","13","3.3","0","0","0","0","0","0","0","1","0.5","0.5","2.6%"
"35","Trevor Siemian (FA)","14","26","53.8","110","4.2","0","2","2","0","0","0","1","1","0.4","0.4","0.0%"
