"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Aaron Jones (MIN)","9","41","4.6","9","0","1","2","4","86","43.0","1","0","1","24.7","24.7","93.9%"
"2","Christian McCaffrey (SF)","22","152","6.9","65","1","1","3","5","17","5.7","0","0","1","22.9","22.9","100.0%"
"3","Austin Ekeler (WAS)","16","117","7.3","55","1","1","4","5","47","11.8","0","0","1","22.4","22.4","92.9%"
"4","Tyler Allgeier (ATL)","15","75","5.0","22","1","2","3","3","19","6.3","0","0","1","21.4","21.4","51.9%"
"5","Tony Pollard (TEN)","14","70","5.0","25","1","2","2","3","12","6.0","0","0","1","20.2","20.2","93.1%"
"6","Kyren Williams (LAR)","15","52","3.5","9","0","2","0","2","2","0","0","0","1","17.4","17.4","96.3%"
"7","Travis Etienne Jr. (JAC)","18","77","4.3","26","1","1","5","5","27","5.4","0","0","1","16.4","16.4","99.7%"
"8","Joshua Kelley (FA)","16","91","5.7","14","0","1","0","1","0","0","0","0","1","15.1","15.1","6.6%"
"9","Breece Hall (NYJ)","10","127","12.7","83","2","0","1","2","20","20.0","0","0","1","14.7","14.7","98.9%"
"10","Bijan Robinson (ATL)","10","56","5.6","21","1","0","6","6","27","4.5","1","0","1","14.3","14.3","99.9%"
"11","David Montgomery (DET)","21","74","3.5","8","0","1","0","0","0","0","0","0","1","13.4","13.4","93.4%"
"12","Justice Hill (BAL)","8","9","1.1","4","0","2","0","0","0","0","0","0","1","12.9","12.9","10.1%"
"13","Nick Chubb (CLE)","18","106","5.9","17","0","0","4","4","21","5.3","0","0","1","12.7","12.7","55.6%"
"14","Brian Robinson Jr. (WAS)","19","59","3.1","7","0","0","1","2","7","7.0","1","0","1","12.6","12.6","86.0%"
"15","Derrick Henry (BAL)","15","63","4.2","18","0","0","2","3","56","28.0","0","0","1","11.9","11.9","99.4%"
"16","Roschon Johnson (CHI)","5","20","4.0","11","0","1","6","7","35","5.8","0","0","1","11.5","11.5","13.8%"
"17","Raheem Mostert (MIA)","10","37","3.7","12","0","1","2","2","13","6.5","0","0","1","11.0","11.0","91.4%"
"18","Alexander Mattison (LV)","11","34","3.1","9","0","0","3","4","10","3.3","1","0","1","10.4","10.4","41.5%"
"19","J.K. Dobbins (LAC)","8","22","2.8","4","0","1","2","3","15","7.5","0","0","1","9.7","9.7","45.9%"
"20","Cam Akers (HOU)","22","29","1.3","12","0","1","0","0","0","0","0","0","1","8.9","8.9","9.2%"
"21","Rhamondre Stevenson (NE)","12","25","2.1","5","0","0","6","6","64","10.7","0","0","1","8.9","8.9","85.2%"
"22","Khalil Herbert (CHI)","9","27","3.0","12","0","0","3","5","37","12.3","0","0","1","8.4","8.4","29.1%"
